1916-01-01,Illustration,2
1916-01-01,TextContent,7
1916-02-01,Illustration,3
1916-02-01,TextContent,7
1916-03-01,Illustration,2
1916-03-01,TextContent,6
1916-04-01,Illustration,3
1916-04-01,TextContent,6
1916-05-01,Illustration,2
1916-05-01,TextContent,6
1916-06-01,Illustration,1
1916-06-01,TextContent,8
1916-07-01,Illustration,2
1916-07-01,TextContent,8
1916-08-01,Illustration,3
1916-08-01,TextContent,17
1916-08-01,Music,1
1916-11-01,Illustration,2
1916-11-01,TextContent,7
1916-12-01,Illustration,1
1916-12-01,TextContent,12
1917-01-01,Illustration,1
1917-01-01,TextContent,11
1917-02-01,Illustration,2
1917-02-01,TextContent,11
1917-03-01,Illustration,2
1917-03-01,TextContent,9
1917-04-01,Illustration,1
1917-04-01,TextContent,8
1917-05-01,Illustration,4
1917-05-01,TextContent,11
1917-06-01,Illustration,1
1917-06-01,TextContent,7
1917-07-01,Illustration,2
1917-07-01,TextContent,7
1917-09-01,Illustration,2
1917-09-01,TextContent,14
1917-11-01,Illustration,2
1917-11-01,TextContent,7
1917-12-01,Illustration,2
1917-12-01,TextContent,7
1918-01-01,Illustration,2
1918-01-01,TextContent,13
1918-02-01,Illustration,3
1918-02-01,TextContent,9
1918-03-01,Illustration,2
1918-03-01,TextContent,9
1918-04-01,Illustration,2
1918-04-01,TextContent,11
1918-05-01,Illustration,2
1918-05-01,TextContent,8
1918-06-01,Illustration,1
1918-06-01,TextContent,12
1918-10-01,Illustration,2
1918-10-01,TextContent,7
1918-10-01,Illustration,2
1918-10-01,TextContent,8
1918-11-01,Illustration,1
1918-11-01,TextContent,8
1918-11-01,Music,1
1918-11-01,Illustration,3
1918-11-01,TextContent,7
1918-12-01,Illustration,1
1918-12-01,TextContent,9
1918-12-01,Illustration,1
1918-12-01,TextContent,7
1919-01-01,TextContent,29
1919-01-01,Illustration,3
1919-01-01,SponsoredAdvertisement,2
1919-02-28,TextContent,19
1919-02-28,Illustration,3
1919-02-28,SponsoredAdvertisement,3
1919-03-30,TextContent,18
1919-03-30,Illustration,1
1919-03-30,SponsoredAdvertisement,2
1919-04-30,TextContent,12
1919-04-30,Illustration,1
1919-04-30,SponsoredAdvertisement,3
1919-05-15,TextContent,11
1919-05-15,Illustration,3
1919-05-15,SponsoredAdvertisement,4
1919-06-15,TextContent,19
1919-06-15,Illustration,4
1919-06-15,SponsoredAdvertisement,3
1919-10-15,TextContent,11
1919-10-15,Illustration,3
1919-10-15,SponsoredAdvertisement,4
1919-11-15,TextContent,3
1919-11-15,Illustration,3
1919-11-15,SponsoredAdvertisement,2
1919-12-15,TextContent,7
1919-12-15,Illustration,2
1919-12-15,SponsoredAdvertisement,3